iter	AUC	Logloss
199	0.923548162	0.1909907547
200	0.9236089885	0.1906965552
201	0.9236221313	0.1902948107
202	0.9236846268	0.1899562817
203	0.9238774478	0.1896825811
204	0.9238435924	0.1893844982
205	0.9239376187	0.1890411523
206	0.9240950346	0.1886987825
207	0.9242568612	0.1883378872
208	0.9243599474	0.1881350203
209	0.9245583415	0.1878538713
210	0.9246762097	0.1875937305
211	0.9246758521	0.1873919882
212	0.9248966277	0.186979294
213	0.9249814749	0.18670084
214	0.925034523	0.186430959
215	0.9251889586	0.1860510503
216	0.9252818525	0.1857822728
217	0.9252887964	0.1856236079
218	0.9255286157	0.1852907449
219	0.9255680442	0.1850886843
220	0.9256965518	0.1847919807
221	0.9257892966	0.1845789704
222	0.9258584678	0.1841963031
223	0.9258987308	0.1838508775
224	0.9260094762	0.1836539098
225	0.9261083603	0.1833496306
226	0.9262745976	0.1831232939
227	0.9263232052	0.1828569143
228	0.9264941514	0.182611267
229	0.926535517	0.1823082186
230	0.9266389608	0.1821266357
231	0.9267197549	0.1818837895
232	0.9267502129	0.1817055594
233	0.9268534482	0.1813557412
234	0.9269441664	0.1811592404
235	0.927113384	0.1808574652
236	0.9272410572	0.1806538343
237	0.9273289144	0.1804762408
238	0.9274198413	0.1802051503
239	0.9274413288	0.1798971787
240	0.9275010824	0.1796532078
241	0.927554816	0.1795141718
242	0.9276449084	0.1792170863
243	0.9278414845	0.1789597042
244	0.9280566871	0.1786580563
245	0.9280835092	0.1784570992
246	0.928339988	0.1781772658
247	0.9284155071	0.177987598
248	0.9285090268	0.1778091344
249	0.9285956025	0.1775319855
250	0.9286673367	0.1773806947
251	0.9286843836	0.1771709417
252	0.9287987053	0.1770255926
253	0.9288934171	0.176762099
254	0.9290138185	0.1765561339
255	0.9290589094	0.1764257558
256	0.9291236699	0.1762405548
257	0.9292567968	0.1759739842
258	0.9293910861	0.1757064906
259	0.9294139147	0.1755492581
260	0.9294213057	0.175406848
261	0.9295187593	0.175120935
262	0.9296149015	0.1749353839
263	0.9296699166	0.1748293986
264	0.9296990335	0.1747187343
265	0.9297327399	0.1745360161
266	0.929831028	0.174317011
267	0.9298519492	0.1741543992
268	0.9300925136	0.1738587779
269	0.9303457439	0.1735654484
270	0.9304861426	0.1733500295
271	0.9306094348	0.1731350988
272	0.93074435	0.1729909062
273	0.9308515787	0.1727528665
274	0.9308902621	0.172649799
275	0.931013763	0.1725037921
276	0.9310472012	0.1723018694
277	0.9312153459	0.1720537712
278	0.9312498271	0.171924104
279	0.9315363765	0.1716633372
280	0.9316173792	0.1714980622
281	0.9316761792	0.1713468881
282	0.9317147434	0.171251704
283	0.9317245185	0.1711033628
284	0.931760937	0.1709947144
285	0.9319207668	0.1707845901
286	0.9321738482	0.1705051493
287	0.9323074222	0.1702643615
288	0.9323732853	0.1700691445
289	0.9324329495	0.1698845908
290	0.9324777722	0.1697603029
291	0.9324936271	0.1696771933
292	0.9325639606	0.1695179873
293	0.9325852394	0.1694302197
294	0.9326243997	0.1693242026
295	0.9326758683	0.1691233092
296	0.9327510595	0.1690101196
297	0.932723552	0.1688635397
298	0.9329432249	0.1687085247
299	0.9329958558	0.1686106987
300	0.9330178201	0.1684834082
301	0.9330236316	0.1683989298
302	0.9330492616	0.1682218138
303	0.9331068695	0.1680460665
304	0.9331671894	0.1679294817
305	0.9333072305	0.1677248746
306	0.9334084392	0.1675484695
307	0.9335755706	0.1673589608
308	0.9336720705	0.167232031
309	0.9336678684	0.1671625448
310	0.9337368608	0.167067191
311	0.9337635934	0.1669990629
312	0.9338055849	0.1667799093
313	0.933847487	0.1666303798
314	0.9340004027	0.1664257834
315	0.9340795875	0.166238471
316	0.9341291189	0.1661151805
317	0.9341495037	0.1659882295
318	0.9341783524	0.165852716
319	0.9342103601	0.1657829328
320	0.9344410896	0.1655616359
321	0.9344716668	0.1654711309
322	0.9345342815	0.1653731245
323	0.934574008	0.1652866833
324	0.934726119	0.1650808985
325	0.9347405434	0.1650065422
326	0.9348009825	0.1648831775
327	0.9348968267	0.1647526721
328	0.9349505901	0.1646607029
329	0.9349976182	0.164488892
330	0.9350270331	0.1644183023
331	0.9350978732	0.1642764546
332	0.9351399541	0.1641427661
333	0.9352379441	0.1639867644
334	0.9352567792	0.1638336911
335	0.9352381825	0.1637080452
336	0.9352439642	0.1635337408
337	0.9353482425	0.1633895483
338	0.9353842437	0.1632337906
339	0.9354140759	0.1631724
340	0.9354454875	0.1630773326
341	0.9355171323	0.1629742227
342	0.9355477095	0.1628840467
343	0.9355772436	0.1627835151
344	0.9356391132	0.1626622617
345	0.9357150793	0.1624685938
346	0.9358181357	0.1622893664
347	0.9358897805	0.1621371631
348	0.9358784854	0.1620373105
349	0.9358995557	0.1618972559
350	0.9360435605	0.1617135298
351	0.9361027479	0.1616410728
352	0.9361214638	0.1615973163
353	0.9361636937	0.1615238301
354	0.9362939	0.1613743961
355	0.9363192618	0.1612670421
356	0.9364382923	0.1611498206
357	0.9364854097	0.1610558567
358	0.936576277	0.1609664128
359	0.9367421865	0.1608087771
360	0.9367830753	0.1606461228
361	0.9368521273	0.1605431827
362	0.9369146526	0.160466333
363	0.9369621277	0.1603286126
364	0.9370506108	0.1601812795
365	0.9370951653	0.160106329
366	0.9371241033	0.160028726
367	0.9373571575	0.1598126812
368	0.9374260902	0.1597145369
369	0.9374598563	0.1596517882
370	0.9375088513	0.1595209326
371	0.9375549853	0.159433112
372	0.9376150072	0.1593721777
373	0.9375994802	0.159247805
374	0.9377193749	0.1590994532
375	0.9377515912	0.1590591451
376	0.9378052354	0.1589337113
377	0.9377922714	0.1588451374
378	0.9378128052	0.1587469612
379	0.9379280508	0.158624944
380	0.9379528463	0.1585684871
381	0.9379826486	0.1585114255
382	0.9380387068	0.1584128992
383	0.93808043	0.158271773
384	0.938100934	0.1582175549
385	0.938120991	0.1581323656
386	0.9381363988	0.1580741262
387	0.9382275939	0.1579697431
388	0.9383591115	0.1578289989
389	0.9383853674	0.1577501014
390	0.9384299815	0.1576367315
391	0.9384904504	0.1575464599
392	0.9385375082	0.1574427559
393	0.9386139512	0.1573650786
394	0.9386657178	0.1572423505
395	0.9387232959	0.157171347
396	0.9387623668	0.1570428151
397	0.9388935864	0.1569092752
398	0.9389222264	0.1568276085
399	0.9389613867	0.1567505572
400	0.939016223	0.1566885725
401	0.9390693605	0.1565939295
402	0.9390929341	0.1565079233
403	0.9391593635	0.1563834657
404	0.939183861	0.15629034
405	0.9392284453	0.1561935856
406	0.9393028319	0.1560492232
407	0.9394305646	0.1559169778
408	0.9394672215	0.1558557357
409	0.9395897985	0.1557185883
410	0.9395928681	0.1556679671
411	0.9395946562	0.1556308314
412	0.939620465	0.1555726132
413	0.9397077858	0.1554561875
414	0.9397663772	0.1553680911
415	0.9398230314	0.1552823925
416	0.9399040639	0.1552050017
417	0.9399949014	0.1550621036
418	0.9400390685	0.1549949623
419	0.9400711358	0.1549163195
420	0.9400941432	0.1548746745
421	0.9401163161	0.1548309923
422	0.9401866794	0.1547496333
423	0.9402218163	0.1546684016
424	0.9403006136	0.1545548089
